target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 11811193,11811193,Kepler-1163,290.23584,50.03009,6226.0,1.333,1.143,478.647
KIC 3734418,3734418,Kepler-1164,287.52963,38.894508,5143.0,0.778,0.803,431.622
KIC 8681734,8681734,Kepler-1198,288.83401,44.838249,5344.0,0.907,0.884,743.03
KIC 10232693,10232693,,299.84909,47.20256,5975.0,2.399,1.194,
KIC 10212441,10212441,Kepler-1199,293.72586,47.24704,5798.0,1.525,0.899,563.493
KIC 6119141,6119141,,290.37512,41.43375,5799.0,1.042,0.928,
KIC 8247771,8247771,Kepler-1200,296.60342,44.129261,4496.0,0.658,0.725,588.715
KIC 8165946,8165946,Kepler-1100,291.87134,44.087379,5985.0,0.981,1.03,693.618
KIC 12017109,12017109,Kepler-1679,293.90057,50.427052,5806.0,0.899,0.996,909.28
KIC 9225395,9225395,Kepler-1101,294.56937,45.671261,5325.0,0.975,0.852,742.473
KIC 10709622,10709622,Kepler-1102,281.32257,48.066502,6119.0,1.119,1.027,1246.05
KIC 11499228,11499228,Kepler-1103,287.38208,49.452389,6285.0,1.039,1.084,1331.92
KIC 9022166,9022166,Kepler-368,291.88004,45.387932,5508.0,1.988,1.136,770.978
KIC 10965588,10965588,Kepler-1132,286.36746,48.423931,5052.0,0.855,0.805,867.931
KIC 10670119,10670119,Kepler-369,293.67422,47.908459,3825.0,0.524,0.561,
KIC 4043443,4043443,,287.40244,39.190731,4602.0,0.675,0.733,
KIC 8491277,8491277,Kepler-498,290.35815,44.518749,5997.0,1.11,1.037,938.844
KIC 8613535,8613535,Kepler-1165,286.97128,44.708302,6249.0,1.076,1.13,1575.2
KIC 12256520,12256520,Kepler-1166,290.34851,50.902851,5382.0,0.827,0.928,634.906
KIC 3337432,3337432,,290.13821,38.491184,6208.0,2.088,1.256,
KIC 5629538,5629538,Kepler-1201,294.61481,40.833172,6136.0,1.005,0.956,944.241
KIC 8561231,8561231,Kepler-1202,292.29062,44.653252,5726.0,0.838,0.93,1175.38
KIC 8235924,8235924,Kepler-1203,292.77338,44.178131,3814.0,0.57,0.576,317.022
KIC 6941084,6941084,Kepler-1204,289.4415,42.498131,6096.0,1.077,1.054,1175.22
KIC 6200235,6200235,Kepler-1205,290.27969,41.515049,5325.0,0.985,0.857,698.485
KIC 11460462,11460462,Kepler-1104,294.46854,49.33102,6387.0,1.381,1.306,530.658
KIC 8612275,8612275,Kepler-360,286.28473,44.781551,5463.0,0.91,0.937,876.044
KIC 7207061,7207061,Kepler-417,293.82431,42.779701,5376.0,0.806,0.897,973.989
KIC 7286911,7286911,Kepler-1133,293.32242,42.86747,5420.0,0.85,0.945,753.135
KIC 8591173,8591173,Kepler-1804,301.34286,44.672211,5109.0,1.671,0.929,434.456
KIC 6962109,6962109,Kepler-1134,295.56799,42.478298,5477.0,0.794,0.876,944.445
KIC 5706595,5706595,Kepler-370,292.17114,40.916309,5569.0,0.954,0.955,1167.94
KIC 10489345,10489345,Kepler-1167,298.30273,47.694031,4949.0,0.741,0.715,820.905
KIC 11774303,11774303,,297.01965,49.997379,6521.0,1.276,1.334,
KIC 10329469,10329469,Kepler-1168,287.2977,47.455441,5162.0,0.736,0.817,752.666
KIC 9654875,9654875,,294.15366,46.309681,7495.0,2.389,1.754,
KIC 9717943,9717943,Kepler-1169,294.91156,46.491459,6213.0,1.195,1.27,522.823
